region,zip,area,station,waste_type,col_date
wangen-bruttisellen,8306,,,waste,2024-09-13
wangen-bruttisellen,8306,,,bulky_goods,2024-09-20
wangen-bruttisellen,8306,,,waste,2024-09-20
wangen-bruttisellen,8306,,,bulky_goods,2024-09-27
wangen-bruttisellen,8306,,,waste,2024-09-27
wangen-bruttisellen,8306,,,cardboard,2024-10-02
wangen-bruttisellen,8306,,,bulky_goods,2024-10-04
wangen-bruttisellen,8306,,,waste,2024-10-04
wangen-bruttisellen,8306,,,paper,2024-10-05
wangen-bruttisellen,8306,,,bulky_goods,2024-10-11
wangen-bruttisellen,8306,,,waste,2024-10-11
wangen-bruttisellen,8306,,,bulky_goods,2024-10-18
wangen-bruttisellen,8306,,,waste,2024-10-18
wangen-bruttisellen,8306,,,bulky_goods,2024-10-25
wangen-bruttisellen,8306,,,waste,2024-10-25
wangen-bruttisellen,8306,,,chipping_service,2024-10-29
wangen-bruttisellen,8306,,,chipping_service,2024-10-30
wangen-bruttisellen,8306,,,chipping_service,2024-10-31
wangen-bruttisellen,8306,,,bulky_goods,2024-11-01
wangen-bruttisellen,8306,,,waste,2024-11-01
wangen-bruttisellen,8306,,,paper,2024-11-02
wangen-bruttisellen,8306,,,cardboard,2024-11-06
wangen-bruttisellen,8306,,,bulky_goods,2024-11-08
wangen-bruttisellen,8306,,,waste,2024-11-08
wangen-bruttisellen,8306,,,bulky_goods,2024-11-15
wangen-bruttisellen,8306,,,waste,2024-11-15
wangen-bruttisellen,8306,,,bulky_goods,2024-11-22
wangen-bruttisellen,8306,,,waste,2024-11-22
wangen-bruttisellen,8306,,,bulky_goods,2024-11-29
wangen-bruttisellen,8306,,,waste,2024-11-29
wangen-bruttisellen,8306,,,cardboard,2024-12-04
wangen-bruttisellen,8306,,,bulky_goods,2024-12-06
wangen-bruttisellen,8306,,,waste,2024-12-06
wangen-bruttisellen,8306,,,paper,2024-12-07
wangen-bruttisellen,8306,,,organic,2024-12-09
wangen-bruttisellen,8306,,,bulky_goods,2024-12-13
wangen-bruttisellen,8306,,,waste,2024-12-13
wangen-bruttisellen,8306,,,bulky_goods,2024-12-20
wangen-bruttisellen,8306,,,waste,2024-12-20
wangen-bruttisellen,8306,,,organic,2024-12-23
wangen-bruttisellen,8306,,,bulky_goods,2024-12-27
wangen-bruttisellen,8306,,,waste,2024-12-27
